,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
4750,"Adams, IN",US,39.8522,-77.2865,1/31/20,0.0,0.0,0.0
14770,"Adams, IN",US,39.8522,-77.2865,2/20/20,0.0,0.0,0.0
9259,"Adams, IN",US,39.8522,-77.2865,2/9/20,0.0,0.0,0.0
21283,"Adams, IN",US,39.8522,-77.2865,3/4/20,0.0,0.0,0.0
6754,"Adams, IN",US,39.8522,-77.2865,2/4/20,0.0,0.0,0.0
11764,"Adams, IN",US,39.8522,-77.2865,2/14/20,0.0,0.0,0.0
241,"Adams, IN",US,39.8522,-77.2865,1/22/20,0.0,0.0,0.0
22786,"Adams, IN",US,39.8522,-77.2865,3/7/20,0.0,0.0,0.0
17275,"Adams, IN",US,39.8522,-77.2865,2/25/20,0.0,0.0,0.0
8257,"Adams, IN",US,39.8522,-77.2865,2/7/20,0.0,0.0,0.0
2245,"Adams, IN",US,39.8522,-77.2865,1/26/20,0.0,0.0,0.0
19279,"Adams, IN",US,39.8522,-77.2865,2/29/20,0.0,0.0,0.0
15271,"Adams, IN",US,39.8522,-77.2865,2/21/20,0.0,0.0,0.0
10762,"Adams, IN",US,39.8522,-77.2865,2/12/20,0.0,0.0,0.0
13267,"Adams, IN",US,39.8522,-77.2865,2/17/20,0.0,0.0,0.0
30301,"Adams, IN",US,39.8522,-77.2865,3/22/20,0.0,0.0,0.0
5752,"Adams, IN",US,39.8522,-77.2865,2/2/20,0.0,0.0,0.0
27295,"Adams, IN",US,39.8522,-77.2865,3/16/20,0.0,0.0,0.0
26794,"Adams, IN",US,39.8522,-77.2865,3/15/20,0.0,0.0,0.0
13768,"Adams, IN",US,39.8522,-77.2865,2/18/20,0.0,0.0,0.0
1243,"Adams, IN",US,39.8522,-77.2865,1/24/20,0.0,0.0,0.0
8758,"Adams, IN",US,39.8522,-77.2865,2/8/20,0.0,0.0,0.0
18277,"Adams, IN",US,39.8522,-77.2865,2/27/20,0.0,0.0,0.0
14269,"Adams, IN",US,39.8522,-77.2865,2/19/20,0.0,0.0,0.0
6253,"Adams, IN",US,39.8522,-77.2865,2/3/20,0.0,0.0,0.0
29299,"Adams, IN",US,39.8522,-77.2865,3/20/20,0.0,0.0,0.0
3247,"Adams, IN",US,39.8522,-77.2865,1/28/20,0.0,0.0,0.0
29800,"Adams, IN",US,39.8522,-77.2865,3/21/20,0.0,0.0,0.0
21784,"Adams, IN",US,39.8522,-77.2865,3/5/20,0.0,0.0,0.0
22285,"Adams, IN",US,39.8522,-77.2865,3/6/20,0.0,0.0,0.0
1744,"Adams, IN",US,39.8522,-77.2865,1/25/20,0.0,0.0,0.0
11263,"Adams, IN",US,39.8522,-77.2865,2/13/20,0.0,0.0,0.0
3748,"Adams, IN",US,39.8522,-77.2865,1/29/20,0.0,0.0,0.0
17776,"Adams, IN",US,39.8522,-77.2865,2/26/20,0.0,0.0,0.0
18778,"Adams, IN",US,39.8522,-77.2865,2/28/20,0.0,0.0,0.0
25792,"Adams, IN",US,39.8522,-77.2865,3/13/20,0.0,0.0,0.0
20782,"Adams, IN",US,39.8522,-77.2865,3/3/20,0.0,0.0,0.0
25291,"Adams, IN",US,39.8522,-77.2865,3/12/20,0.0,0.0,0.0
2746,"Adams, IN",US,39.8522,-77.2865,1/27/20,0.0,0.0,0.0
30802,"Adams, IN",US,39.8522,-77.2865,3/23/20,,,
12265,"Adams, IN",US,39.8522,-77.2865,2/15/20,0.0,0.0,0.0
5251,"Adams, IN",US,39.8522,-77.2865,2/1/20,0.0,0.0,0.0
19780,"Adams, IN",US,39.8522,-77.2865,3/1/20,0.0,0.0,0.0
23788,"Adams, IN",US,39.8522,-77.2865,3/9/20,0.0,0.0,0.0
15772,"Adams, IN",US,39.8522,-77.2865,2/22/20,0.0,0.0,0.0
7255,"Adams, IN",US,39.8522,-77.2865,2/5/20,0.0,0.0,0.0
12766,"Adams, IN",US,39.8522,-77.2865,2/16/20,0.0,0.0,0.0
20281,"Adams, IN",US,39.8522,-77.2865,3/2/20,0.0,0.0,0.0
10261,"Adams, IN",US,39.8522,-77.2865,2/11/20,0.0,0.0,0.0
7756,"Adams, IN",US,39.8522,-77.2865,2/6/20,0.0,0.0,0.0
27796,"Adams, IN",US,39.8522,-77.2865,3/17/20,0.0,0.0,0.0
16273,"Adams, IN",US,39.8522,-77.2865,2/23/20,0.0,0.0,0.0
24289,"Adams, IN",US,39.8522,-77.2865,3/10/20,0.0,0.0,0.0
742,"Adams, IN",US,39.8522,-77.2865,1/23/20,0.0,0.0,0.0
24790,"Adams, IN",US,39.8522,-77.2865,3/11/20,0.0,0.0,0.0
26293,"Adams, IN",US,39.8522,-77.2865,3/14/20,0.0,0.0,0.0
16774,"Adams, IN",US,39.8522,-77.2865,2/24/20,0.0,0.0,0.0
9760,"Adams, IN",US,39.8522,-77.2865,2/10/20,0.0,0.0,0.0
28297,"Adams, IN",US,39.8522,-77.2865,3/18/20,0.0,0.0,0.0
4249,"Adams, IN",US,39.8522,-77.2865,1/30/20,0.0,0.0,0.0
23287,"Adams, IN",US,39.8522,-77.2865,3/8/20,0.0,0.0,0.0
28798,"Adams, IN",US,39.8522,-77.2865,3/19/20,0.0,0.0,0.0
915,Alabama,US,32.3182,-86.9023,1/23/20,0.0,0.0,0.0
16947,Alabama,US,32.3182,-86.9023,2/24/20,0.0,0.0,0.0
25965,Alabama,US,32.3182,-86.9023,3/13/20,5.0,0.0,0.0
8931,Alabama,US,32.3182,-86.9023,2/8/20,0.0,0.0,0.0
17949,Alabama,US,32.3182,-86.9023,2/26/20,0.0,0.0,0.0
10935,Alabama,US,32.3182,-86.9023,2/12/20,0.0,0.0,0.0
22959,Alabama,US,32.3182,-86.9023,3/7/20,0.0,0.0,0.0
30975,Alabama,US,32.3182,-86.9023,3/23/20,138.0,0.0,0.0
28971,Alabama,US,32.3182,-86.9023,3/19/20,78.0,0.0,0.0
23961,Alabama,US,32.3182,-86.9023,3/9/20,0.0,0.0,0.0
30474,Alabama,US,32.3182,-86.9023,3/22/20,138.0,0.0,0.0
